star_name|Vmag|Jmag|Tmag|Gmag|d|SpT|T_eff_st|logL|R_st|M_st|age|binary
TIC 459832522|-0.05|-2.252|-1.254|null|11.257458065968704|K1.5IIIFe-0.5|4295.0|2.2830749747354715|25.018645639478063|0.92|8.709635899560796|1
TIC 232602607|11.4|8.793|9.943|10.737387657165527|43.697017669677734|M1.5|4326.1|-1.0027660858731082|0.5611468038024927|0.68|null|1
TIC 158497128|11.944|9.121|10.289|11.22683811187744|46.57562255859375|K4/5V|3889.0|-1.091432437330586|0.6269898926668234|0.6099841587374265|null|0
TIC 1001291727|9.31|null|8.41|9.00755786895752|38.329376220703125|K3|4957.8779955483105|-0.5169823759981647|0.747428727741658|0.7658224701881409|13.27674674987793|1
TIC 441694503|9.15|7.38|8.266|8.926795959472656|41.58808517456055|K0|4840.59601308604|-0.4012310915368594|0.8958585059184032|0.7861653953864821|null|1
TIC 357348571|12.55|9.424|10.705|11.7047700881958|42.20100402832031|null|3756.0|-1.3075140857159464|0.5241365367984226|0.5213150376247845|null|1
TIC 357348573|12.16|9.395|10.669|11.662357330322266|42.12425994873047|null|3771.0|-1.2900102819299009|0.530559920021085|0.5276275544309607|null|1
TIC 298164374|11.769|8.079|9.541|10.711101531982422|18.437929153442383|M3.0Ve|3467.0|-1.596643355122234|0.440984458457725|0.4369612765467586|null|0
TIC 166151662|9.6|7.645|8.653|9.315166473388672|43.919002532958984|K5|4827.0|-0.468783214844286|0.8335016037261289|0.7748000025749207|null|1
TIC 202299286|11.511|8.877|10.067|10.900927543640137|41.43234634399414|K7.5V|4007.959256747624|-1.0328054219175036|0.6315435991800561|0.6217975616455078|10.733065605163574|0
TIC 366125129|11.781|9.064|10.232|11.159008979797363|47.23075866699219|K5V|3925.0|-1.0611518120674877|0.6373785100504984|0.6171065148957112|null|0
TIC 405504412|9.988|7.503|8.701|9.52545166015625|25.73712921142578|K5V|4035.48702634989|-0.9040701989895849|0.7224796759408699|0.6560248136520386|12.466592788696287|0
TIC 202510236|12.246|9.034|10.383|11.43929958343506|32.51429748535156|null|3657.0|-1.4018771471956253|0.4959799843611354|0.4940188655115106|null|0
TIC 165599288|13.5|9.249|10.716|11.883529663085938|29.300975799560547|M2.2V|3466.0|-1.6131374949928463|0.4329390706895315|0.4280475949187151|null|0
TIC 165623351|11.353|8.986|10.101|10.878765106201172|48.52177429199219|K6V|4177.755802938039|-0.932198182852252|0.6526306276600861|0.6598497629165649|12.898776054382324|0
TIC 202425393|10.961|7.701|9.052|10.117958068847656|17.072256088256836|M1V|3636.0|-1.4290181860214208|0.4862905193772837|0.4845370432421224|null|0
TIC 202440158|12.6|9.393|10.719|11.779934883117676|32.894596099853516|null|3638.0|-1.4892270007272617|0.4532248929112754|0.4502533372719867|null|0
TIC 232977967|11.645|8.171|10.248|11.302949905395508|21.318328857421875|M2.5V|3535.0|-1.627312691212911|0.4094656389051165|0.4826518341739347|null|1
TIC 159630980|9.06|5.929|8.532|9.105575561523438|41.07699966430664|null|5073.736393486049|-0.5066913832344462|0.7221894734550723|0.7966431379318237|7.976008415222168|1
TIC 282927120|12.125|8.992|10.29|11.333399772644045|31.18835067749023|M1.5V|3676.0|-1.3963131743921|0.4940205925116057|0.4921855501101391|null|0
TIC 286171038|11.681|8.824|10.029|10.992718696594238|48.3148193359375|M0.5V|3842.0|-1.059488603832929|0.6664899757837526|0.6634461753150096|null|0
TIC 458484515|10.31|7.925|9.007|9.780303001403809|32.75283432006836|K5V|4206.009570266178|-0.8410275403171432|0.715152006723925|0.66|null|1
TIC 161729713|11.056|8.542|9.715|10.529054641723633|39.64460754394531|K7V|4054.972768761098|-0.9357259102438558|0.6899439418752548|0.63|null|1
TIC 158533060|12.642|9.252|10.609|11.711994171142578|33.28779220581055|null|3568.0|-1.4654010453884203|0.4842865757658929|0.4827581797589243|null|0
TIC 298163220|11.517|8.864|10.02|10.855230331420898|45.87002182006836|M0.0V|4005.947893593784|-0.9255624243881488|0.715254898208376|0.62|null|0
TIC 158497642|12.102|9.292|10.49|11.423492431640623|43.94552230834961|null|3909.0|-1.1772463081994402|0.5622094611692208|0.5561875441755891|null|0
TIC 313403579|11.609|8.86|10.049|10.987446784973145|39.45742416381836|K5V|3894.0|-1.1265405135108344|0.6006071440738958|0.5888819712798787|null|0
TIC 150385159|10.62|8.42|9.483|10.23961353302002|43.67985153198242|K6V|4258.695252135766|-0.7869193543913834|0.7424032093089017|0.66|null|0
TIC 159527171|9.37|7.823|8.605|9.183513641357422|44.90682601928711|K0|5014.67742471329|-0.4552271406997355|0.7844279705744936|0.7872624397277832|12.386714935302734|1
TIC 147671540|12.33|9.251|10.683|11.614511489868164|41.18098831176758|null|3814.827138979022|-1.2667907653461232|0.5324851921557211|0.5503344672850594|null|1
TIC 417930917|9.65|7.998|8.805|9.38735294342041|42.36533737182617|K0|4987.677403056114|-0.5848397010570341|0.6830241856461438|0.8011513948440552|1.8145560026168823|0
TIC 147670988|13.481|7.937|9.394|10.552364349365234|18.3544864654541|M3V|3487.0|-1.5229219753799748|0.4745563209011606|0.4723019487956321|null|0
TIC 161666492|12.136|8.999|10.313|11.343645095825195|42.60561752319336|M1.5V|3700.0|-1.1945162061198535|0.6151642570188891|0.6004580599768544|null|0
TIC 1102069399|null|null|11.219|11.717453002929688|11.70097827911377|null|null|null|null|null|null|1
TIC 310004225|10.481|8.099|9.219|9.992722511291504|33.745697021484375|K7Ve|4107.1|-0.875152618965711|0.7211170779544764|0.64|null|1
TIC 230200897|12.759|9.152|10.607|11.775094032287598|39.68309783935547|M6e|3488.0|-1.5495926655906305|0.459942307302983|0.5531882939870171|null|0
TIC 459941515|12.01|9.215|10.393|11.216955184936523|47.33338928222656|K7|4129.4|-1.078079615109341|0.5647274918370536|0.65|null|0
TIC 155897867|9.6|7.902|8.729|9.311442375183104|47.5509147644043|null|4992.2|-0.450156518763868|0.7961418131988179|0.83|null|0
TIC 283858338|12.924|9.409|10.846|11.981775283813477|31.14545440673828|M7|3520.0|-1.5942828073809396|0.4289690056600534|0.4237832943252667|null|0
TIC 235556345|9.05|7.642|8.359|8.861825942993164|43.83697509765625|K0|5415.307715981983|-0.3754972762259075|0.7373229079758197|0.94|null|0
TIC 161821165|11.35|8.771|9.935|10.747316360473633|44.60890579223633|K6V|4257.5|-0.9714366320316264|0.6006548879152219|0.67|null|0
TIC 235568605|11.32|8.769|10.015|10.92683219909668|40.83480453491211|M0|4000.0|-1.0451070037050094|0.6251426945192702|0.6148110032081604|10.470617294311523|0
TIC 313422129|12.879|9.507|10.845|11.949074745178224|35.85541534423828|null|3568.0|-1.495315719329623|0.4678914333785783|0.4651885953432244|null|0
TIC 444059177|12.95|9.326|10.781|11.926706314086914|31.679258346557617|null|3497.0|-1.5590258775659391|0.4526353217417319|0.4496458829787071|null|0
TIC 165624285|11.335|8.974|10.071|10.86292552947998|47.554412841796875|K5|4121.808250508377|-0.9292186886792072|0.6727717269450283|0.64|null|0
TIC 165764308|11.812|8.826|10.064|11.063215255737305|44.21656799316406|M1.0V|3767.0|-1.107121806288747|0.6562971242712214|0.631388422548816|null|1
TIC 441709023|11.458|7.883|9.335|10.498153686523438|14.526463508605955|M2.5V|3482.0|-1.655498042886635|0.4085508231338393|0.4011522413718112|null|1
TIC 199524942|9.99|7.658|8.747|9.508625984191896|32.20621109008789|M0V|4548.0|-0.8153501229180303|0.6299943743407469|0.66|null|0
TIC 233193894|10.16|8.815|10.053|11.041869163513184|39.63953399658203|null|3784.0|-1.170321456688282|0.6047691943712538|0.5924274489047731|null|0
TIC 224298134|12.816|9.463|10.851|11.95021629333496|36.96040344238281|M2.09|3577.0|-1.4702333929254698|0.4791793213197761|0.4774716596893474|null|0
TIC 233193893|9.11|7.61|8.35|8.887530326843262|39.848236083984375|K2|5224.808655314751|-0.4573686591971913|0.720821172946262|0.88|null|0
TIC 284712089|12.21|9.188|10.486|11.490490913391112|37.1246337890625|M0.5Ve|3752.0|-1.3215257273394436|0.5168495253318854|0.5141387234401223|null|0
TIC 284184793|10.876|8.15|9.342|10.277398109436035|32.30853271484375|K7V|3903.0|-1.049345368618148|0.653405608581122|0.6296306550435047|null|0
TIC 459225217|9.48|7.723|8.56|9.17550563812256|41.60034942626953|K2|4830.52420113846|-0.4992878850920023|0.8035634556247486|0.78|null|0
TIC 166174563|11.115|8.515|10.217|11.082752227783203|44.93818283081055|null|3966.649038957179|-1.0228432687787583|0.6522039985932481|0.6864713568232682|null|1
TIC 166174564|11.01|8.428|10.34|11.219188690185549|44.915470123291016|null|3944.500538226041|-1.0713477432375489|0.6237272723602546|0.6995355396379688|null|1
TIC 232980902|12.343|9.531|10.739|11.69927215576172|49.51415252685547|null|3843.0|-1.196607407138967|0.5688636353454799|0.5618517406650009|null|0
TIC 219004642|10.708|7.306|8.732|9.854037284851074|10.927592277526855|M3V|3545.0|-1.6407821393876036|0.4008935751023438|0.3925503010269173|null|1
TIC 219007045|11.954|8.935|10.192|11.201382637023926|38.17380142211914|M1.0V|3743.0|-1.2249287053138505|0.5804283785001274|0.5717302196192777|null|0
TIC 233183565|11.928|8.917|10.439|11.45760440826416|39.36039352416992|M1.5V|3493.0|-1.142376573578873|0.7329379122632033|0.5932608619566254|null|0
TIC 358767843|10.246|8.067|9.095|9.81504249572754|39.41728591918945|K5V|4404.920105969731|-0.7368723173376156|0.7350898303696793|0.69|null|1
TIC 284185810|11.733|8.523|9.903|11.064841270446776|27.61560821533203|M1.5V|3631.0|-1.61849476425341|0.392060207011382|0.5188098641803203|null|0
TIC 154011858|11.62|8.845|10.029|10.875445365905762|39.03192901611328|K7.5V|3989.7969909303074|-1.0691318564020071|0.6112024968624462|0.5874683168018238|null|0
TIC 154107531|12.354|8.731|10.224|11.385592460632324|25.674959182739254|M3.0V|3477.0|-1.5330891468642611|0.4717356413774171|0.4695244546027799|null|0
TIC 142385359|11.755|8.887|10.103|11.07943058013916|36.07501983642578|M0.5V|3804.0|-1.215621672753099|0.5680162913353196|0.5605386107779649|null|0
TIC 142383642|12.744|9.632|10.901|11.932613372802734|49.09908676147461|null|3692.0|-1.2768159926175506|0.5619805225874405|0.5563091823744912|null|0
TIC 341687654|10.838|6.88|8.422|9.844049453735352|10.189525168127163|M3V|3236.0|-1.587025423134392|0.5118266644158125|0.4357008254479067|null|1
TIC 232966413|8.858|7.193|8.034|8.61664867401123|34.210205078125|K2|4945.0|-0.4575003896319105|0.8045811585303996|0.82|null|0
TIC 148917709|11.175|8.353|9.525|10.446663856506348|33.199012756347656|M0.0V|3943.0|-1.066188732333058|0.6279205905600977|0.610104742574067|null|0
TIC 148914496|11.08|8.733|9.766|10.49424648284912|46.60820770263672|K5V|4366.057301122825|-0.8553344907570356|0.6528396707550504|0.6761316061019897|13.37379550933838|0
TIC 148909368|12.498|8.828|10.285|11.458523750305176|19.54930305480957|M3.0V|3446.0|-1.7746085907200304|0.3636786474926406|0.3501031492005816|null|0
TIC 148894032|9.86|7.822|8.802|9.465261459350586|38.42622375488281|K5|4626.667923061991|-0.6569989177437809|0.7304937883133188|0.73|null|0
TIC 207384131|12.603|9.468|10.811|11.856600761413574|44.158077239990234|null|3675.0|-1.3291089041725757|0.5340519509327368|0.530515765130088|null|0
TIC 441697774|12.859|9.101|10.815|11.92143440246582|28.37129020690918|M2.2|3565.0|-1.5568699062205849|0.4366149712967667|0.4319215302488999|null|1
TIC 441697775|11.93|8.85|10.242|11.275552749633787|28.398359298706055|M3V|3694.0|-1.4072930579927243|0.4830725207428574|0.4811511269354891|null|1
TIC 355950542|8.73|7.411|8.095|8.56535530090332|49.00381088256836|G6V|5515.0|-0.1616060086708742|0.9094076578637778|0.8861457109451294|10.02357006072998|0
TIC 233200932|9.67|7.836|8.745|9.390082359313965|40.74250793457031|K5|4799.0|-0.5994540176925391|0.7254778146883724|0.7572475671768188|10.394124031066896|0
TIC 219090984|12.029|9.254|10.476|11.300673484802246|47.005409240722656|null|4017.1015712541903|-1.085733112734257|0.5915077820584895|0.63|null|0
TIC 219859634|9.05|7.496|8.273|8.839774131774902|42.668907165527344|K5|5042.962036985904|-0.3646821094245577|0.8608751912116385|0.8010549545288086|null|0
TIC 233196168|12.039|9.055|10.426|11.360507011413574|35.96751022338867|M0.5|3815.5784853278137|-1.2829836183163636|0.5224443695603355|0.5426111850649856|null|1
TIC 219096061|10.82|8.722|9.739|10.43915557861328|49.28185272216797|K3|4470.20853517095|-0.8046846360902685|0.6601684419882526|0.6994543075561523|9.33321762084961|0
TIC 236713907|9.54|8.113|8.758|9.315163612365724|48.72966003417969|G5|5104.9954151952925|-0.4447279738358578|0.766122020141724|0.7895560264587402|12.43897533416748|0
TIC 229552665|11.202|8.441|9.624|10.577664375305176|32.43365478515625|M1V|3858.0|-1.140461384358663|0.6021400385656247|0.5896714110572223|null|0
TIC 199550243|12.707|9.478|10.831|11.90879249572754|39.94453430175781|null|3613.0|-1.4093457717285034|0.5037833799765078|0.5018602441556381|null|0
TIC 230073588|10.615|6.908|8.428|9.618663787841797|10.760478019714355|M3.0V|3438.0|-1.577468436655383|0.4584655228904009|0.4555272311308468|null|1
