# d	M_st	R_st	L_st	T_eff_st	SpT
13.779 0.89127600 0.91203136 0.66840900 5469.6313 G
17.990 1.36814000 1.28500386 2.99538000 6704.4496 F
21.648 1.38405000 1.29694460 3.11910000 6741.3827 F
17.565 0.89234400 0.91290555 0.67121800 5472.7466 G
3.563 0.39794500 0.47847411 0.03975410 3729.2254 M
8.535 1.07321000 1.05815130 1.28056000 5974.1822 G
7.459 1.44709000 1.34399123 3.64530000 6885.5315 F
11.137 0.84765300 0.87614197 0.56074300 5340.7973 K
22.030 1.00905000 1.00723347 1.03204000 5801.7823 G
27.247 1.57426000 1.43767648 4.89513000 7166.5946 F
14.994 0.98546800 0.98835741 0.95005500 5736.9695 G
7.435 0.70293700 0.75428092 0.29121100 4886.3858 K
23.230 1.51216000 1.39212488 4.25197000 7030.8983 F
5.838 1.05855000 1.04657198 1.22036000 5935.2608 G
15.880 1.18689000 1.14690746 1.82153000 6266.8206 G
18.801 1.44565000 1.34292120 3.63259000 6882.2620 F
15.177 1.22693000 1.17775736 2.04585000 6366.3850 F
25.593 1.47576000 1.36525127 3.90439000 6949.9931 F
21.056 0.99576500 0.99661056 0.98525500 5765.3647 G
13.410 1.43218000 1.33290158 3.51554000 6851.7473 F
8.188 0.73808000 0.78430097 0.34543200 5000.9399 K
17.344 1.14374000 1.11342725 1.60009000 6157.5443 G
7.605 0.80233000 0.83846015 0.46263200 5203.1946 K
3.603 0.81386600 0.84809075 0.48633400 5238.5955 K
10.043 0.84371900 0.87288748 0.55168700 5329.0086 K
25.928 1.14669000 1.11572412 1.61458000 6165.0819 G
10.787 0.77263900 0.81354448 0.40543200 5110.8275 K
11.008 1.06100000 1.04850935 1.23026000 5941.7646 G
23.006 1.31970000 1.24847593 2.64039000 6590.6660 F
12.834 0.79631200 0.83342516 0.45060100 5184.6220 K
7.235 0.68745600 0.74096198 0.26937500 4834.9694 K
21.925 1.21387000 1.16771738 1.97060000 6334.0738 G
