# Radius and bulk density differences based on a sample of low-mass (0.1-2.0 Mearth) and detectable (transit depth >7.50E-05) planets, excluding extreme irradiances (>2000 W/m2).
gh_increase,water_incorp,wrr,delta_R,delta_rho
False,False,0.0,0.0,0.0
False,False,0.0001,0.0,0.0
False,False,0.001,0.0,0.0
False,False,0.005,0.0,0.0
False,False,0.01,0.0,0.0
False,False,0.02,0.0,0.0
False,False,0.03,0.0,0.0
False,False,0.04,0.0,0.0
False,False,0.05,0.0,0.0
False,True,0.0,0.0,0.0
False,True,0.0001,0.007611439942211806,0.011409834606659786
False,True,0.001,-0.015402695539523337,0.3495463709384321
False,True,0.005,-0.027741090303141758,0.549572390163692
False,True,0.01,-0.03314591723741167,0.6435700498609469
False,True,0.02,-0.03791545844721267,0.718146552280464
False,True,0.03,-0.03791545844721267,0.718146552280464
False,True,0.04,-0.040774589330802136,0.7604157671468039
False,True,0.05,-0.04172482566643421,0.7678454629463207
True,False,0.0,0.0,0.0
True,False,0.0001,0.08686588586752075,-0.9031039836528465
True,False,0.001,0.1431536713525613,-1.3998525110657645
True,False,0.005,0.19326355340755497,-1.7513181825744994
True,False,0.01,0.22057651627717056,-1.91789731291719
True,False,0.02,0.25543492156145253,-2.1117251793248553
True,False,0.03,0.2810805493143186,-2.239692407211128
True,False,0.04,0.30235939067141004,-2.3373116114475425
True,False,0.05,0.32084155947441706,-2.416048524899174
True,True,0.0,0.0,0.0
True,True,0.0001,0.0870467964799696,-0.9043488485391005
True,True,0.001,0.11667427435265576,-1.1833321611052878
True,True,0.005,0.15030980727589893,-1.4547087604667062
True,True,0.01,0.16961646105279382,-1.5967246270884674
True,True,0.02,0.19705512509759615,-1.7789543873471483
True,True,0.03,0.2213620332774876,-1.9276271584005609
True,True,0.04,0.23799862054681442,-2.018531073406311
True,True,0.05,0.25449933213005627,-2.1016946393415123
