age,lum
5.693354,0.356
5.700047,0.351
5.713470,0.341
5.720197,0.336
5.733688,0.326
5.740448,0.321
5.754003,0.311
5.760795,0.306
5.774407,0.296
5.781230,0.291
5.794900,0.281
5.801750,0.276
5.815473,0.265
5.822349,0.260
5.829232,0.255
5.843025,0.245
5.849933,0.240
5.863775,0.230
5.870708,0.225
5.884599,0.215
5.891555,0.210
5.905494,0.200
5.912474,0.194
5.919465,0.189
5.933463,0.179
5.940478,0.174
5.954524,0.164
5.961560,0.159
5.975652,0.149
5.982709,0.144
5.989775,0.138
6.003921,0.128
6.011008,0.123
6.025191,0.113
6.032292,0.108
6.039398,0.103
6.053628,0.093
6.060747,0.088
6.074999,0.077
6.082132,0.072
6.089266,0.067
6.103544,0.057
6.110687,0.052
6.124980,0.042
6.132132,0.036
6.139284,0.031
6.153595,0.021
6.160751,0.016
6.175065,0.006
6.182223,0.001
6.189384,-0.005
6.203704,-0.015
6.210864,-0.020
6.225190,-0.030
6.232353,-0.036
6.239517,-0.041
6.253851,-0.051
6.261020,-0.056
6.275360,-0.067
6.282536,-0.072
6.289714,-0.077
6.304075,-0.088
6.311260,-0.093
6.325639,-0.103
6.332834,-0.108
6.340033,-0.114
6.354445,-0.124
6.361656,-0.129
6.376095,-0.140
6.383322,-0.145
6.390557,-0.150
6.405039,-0.161
6.411569,-0.166
6.422705,-0.174
6.431999,-0.181
6.439983,-0.187
6.450292,-0.194
6.459959,-0.201
6.469231,-0.208
6.481156,-0.217
6.489656,-0.223
6.500847,-0.231
6.509032,-0.237
6.519617,-0.245
6.529442,-0.252
6.540937,-0.260
6.549809,-0.266
6.560314,-0.274
6.570511,-0.281
6.580521,-0.288
6.590033,-0.295
6.599089,-0.301
6.610836,-0.309
6.619418,-0.315
6.633860,-0.325
6.640552,-0.330
6.655472,-0.340
6.662946,-0.345
6.670424,-0.350
6.685403,-0.361
6.692903,-0.366
6.700412,-0.371
6.715457,-0.381
6.722994,-0.387
6.730544,-0.392
6.745672,-0.402
6.753257,-0.407
6.760854,-0.413
6.776091,-0.423
6.783735,-0.428
6.791394,-0.433
6.799070,-0.438
6.814480,-0.449
6.822214,-0.454
6.829969,-0.459
6.845455,-0.469
6.853155,-0.474
6.860825,-0.480
6.876079,-0.489
6.883661,-0.494
6.891214,-0.499
6.906230,-0.509
6.913694,-0.513
6.921128,-0.518
6.935904,-0.527
6.943248,-0.532
6.950561,-0.536
6.965095,-0.545
6.972317,-0.549
6.979508,-0.554
6.993798,-0.562
7.000898,-0.566
7.014999,-0.574
7.022003,-0.578
7.028978,-0.582
7.042831,-0.589
7.049714,-0.593
7.063378,-0.600
7.070164,-0.604
7.083639,-0.611
7.090332,-0.614
7.103616,-0.621
7.110212,-0.624
7.123306,-0.630
7.129806,-0.633
7.142705,-0.639
7.149108,-0.642
7.161814,-0.647
7.174394,-0.652
7.180633,-0.655
7.193022,-0.660
7.199165,-0.662
7.211361,-0.666
7.223428,-0.671
7.229413,-0.672
7.241285,-0.676
7.253030,-0.680
7.264648,-0.683
7.270409,-0.684
7.281835,-0.687
7.293141,-0.689
7.304322,-0.691
7.309869,-0.692
7.320865,-0.693
7.331735,-0.694
7.342478,-0.695
7.353100,-0.695
7.363604,-0.695
7.373993,-0.694
7.379144,-0.694
7.389363,-0.693
7.399471,-0.692
7.409475,-0.691
7.419367,-0.688
7.429148,-0.685
7.443615,-0.680
7.453127,-0.676
7.462540,-0.672
7.471859,-0.668
7.481086,-0.662
7.490223,-0.657
7.499275,-0.651
7.512704,-0.642
7.521564,-0.636
7.530352,-0.630
7.539069,-0.623
7.552008,-0.613
7.560488,-0.606
7.572844,-0.595
7.580860,-0.588
7.592591,-0.578
7.600256,-0.570
7.611535,-0.559
7.622618,-0.548
7.629893,-0.541
7.640668,-0.531
7.651402,-0.521
7.662062,-0.513
7.669828,-0.507
7.680720,-0.500
7.691357,-0.495
7.701685,-0.492
7.711798,-0.492
7.721788,-0.496
7.731748,-0.503
7.741768,-0.513
7.751929,-0.527
7.762295,-0.542
7.769340,-0.553
7.782176,-0.572
7.795189,-0.587
7.803500,-0.595
7.813267,-0.602
7.824706,-0.608
7.838046,-0.612
7.853532,-0.614
7.871413,-0.615
7.891943,-0.615
7.915361,-0.614
7.941893,-0.614
7.971729,-0.614
