wrr,mass,radius
# wrr: WATER-TO-ROCK RATIO
# mass: MASS (Earth mass)
# radius: RADIUS (Earth radius)
#
1.00000E-04,1.00000E-01,6.65295E-01
1.00000E-04,1.50000E-01,7.26968E-01
1.00000E-04,2.00000E-01,7.73228E-01
1.00000E-04,2.50000E-01,8.12926E-01
1.00000E-04,3.00000E-01,8.47439E-01
1.00000E-04,3.50000E-01,8.78967E-01
1.00000E-04,4.00000E-01,9.07523E-01
1.00000E-04,4.50000E-01,9.33566E-01
1.00000E-04,5.00000E-01,9.58015E-01
1.00000E-04,5.50000E-01,9.80627E-01
1.00000E-04,6.00000E-01,1.00194E+00
1.00000E-04,6.50000E-01,1.02213E+00
1.00000E-04,7.00000E-01,1.04128E+00
1.00000E-04,7.50000E-01,1.05937E+00
1.00000E-04,8.00000E-01,1.07673E+00
1.00000E-04,8.50000E-01,1.09331E+00
1.00000E-04,9.00000E-01,1.10923E+00
1.00000E-04,9.50000E-01,1.12457E+00
1.00000E-04,1.00000E+00,1.13935E+00
1.00000E-04,1.05000E+00,1.15350E+00
1.00000E-04,1.10000E+00,1.16725E+00
1.00000E-04,1.15000E+00,1.18065E+00
1.00000E-04,1.20000E+00,1.19338E+00
1.00000E-04,1.25000E+00,1.20585E+00
1.00000E-04,1.30000E+00,1.21790E+00
1.00000E-04,1.35000E+00,1.22971E+00
1.00000E-04,1.40000E+00,1.24136E+00
1.00000E-04,1.45000E+00,1.25260E+00
1.00000E-04,1.50000E+00,1.26368E+00
1.00000E-04,1.55000E+00,1.27401E+00
1.00000E-04,1.60000E+00,1.28399E+00
1.00000E-04,1.65000E+00,1.29412E+00
1.00000E-04,1.70000E+00,1.30442E+00
1.00000E-04,1.75000E+00,1.31450E+00
1.00000E-04,1.80000E+00,1.32362E+00
1.00000E-04,1.85000E+00,1.33274E+00
1.00000E-04,1.90000E+00,1.34171E+00
1.00000E-04,1.95000E+00,1.35061E+00
1.00000E-04,2.00000E+00,1.35950E+00
1.00000E-04,2.05000E+00,1.36814E+00
1.00000E-03,1.00000E-01,8.20581E-01
1.00000E-03,1.50000E-01,8.47118E-01
1.00000E-03,2.00000E-01,8.79333E-01
1.00000E-03,2.50000E-01,9.07044E-01
1.00000E-03,3.00000E-01,9.33069E-01
1.00000E-03,3.50000E-01,9.58194E-01
1.00000E-03,4.00000E-01,9.81702E-01
1.00000E-03,4.50000E-01,1.00360E+00
1.00000E-03,5.00000E-01,1.02456E+00
1.00000E-03,5.50000E-01,1.04425E+00
1.00000E-03,6.00000E-01,1.06300E+00
1.00000E-03,6.50000E-01,1.08094E+00
1.00000E-03,7.00000E-01,1.09809E+00
1.00000E-03,7.50000E-01,1.11439E+00
1.00000E-03,8.00000E-01,1.13015E+00
1.00000E-03,8.50000E-01,1.14528E+00
1.00000E-03,9.00000E-01,1.15988E+00
1.00000E-03,9.50000E-01,1.17398E+00
1.00000E-03,1.00000E+00,1.18760E+00
1.00000E-03,1.05000E+00,1.20073E+00
1.00000E-03,1.10000E+00,1.21350E+00
1.00000E-03,1.15000E+00,1.22598E+00
1.00000E-03,1.20000E+00,1.23785E+00
1.00000E-03,1.25000E+00,1.24952E+00
1.00000E-03,1.30000E+00,1.26080E+00
1.00000E-03,1.35000E+00,1.27190E+00
1.00000E-03,1.40000E+00,1.28287E+00
1.00000E-03,1.45000E+00,1.29349E+00
